project_id;track_id;section_id;segment_id;point_id;section_duration;section_speed;section_warning;section_weather;timestamp;lon_ontrack;lat_ontrack;lon_rtk;lat_rtk;sun_azimuth;sun_height;tair_thermohygro;tair_tc1;tair_tc2;tair_anemo;rh_thermohygro;ws;wdir;sw_up;sw_down;sw_front;sw_back;sw_left;sw_right;lw_up;lw_down;lw_front;lw_back;lw_left;lw_right;tmrt;pet
;;66;144;4700;107;0.900321697919784;;sun;2024-07-10 12:49:53;3.87540847063065;43.6133091252968;3.8754074;43.6133113;138.115407566502;63.3882614952677;30.6103608758679;33.9609375;33.984375;34;36.6947432669566;1.2346656;163;93.3680690369688;9.74634548978156;63.2069853790981;37.4960510726036;17.486792503213;91.643135743515;453.181180374579;484.489002800367;479.786635448919;496.309872610247;481.310622175734;495.561692184452;36.8581960987426;30.5898056118679
;;66;144;4701;;;;;2024-07-10 12:49:54;3.87540602311492;43.6133010176313;3.8754075;43.6133112;138.122755226749;63.390279901603;30.6130312046998;34.03125;33.9609375;34;36.6985580224308;1.028888;176;93.4739192097091;9.76958343620103;63.2465590532492;37.5255516201915;17.3648270803484;91.8753614277078;452.974821859667;484.533327089219;479.865288161987;496.288792273543;481.694069329065;495.735051311407;36.8817984221697;30.9831012206998
;;66;144;4702;;;;;2024-07-10 12:49:55;3.8754035755992;43.6132929099657;3.8754069;43.6133079;138.130103797405;63.392298020773;30.6450751506828;34.0703125;34.0234375;34;36.6909285114824;1.0803324;180;93.4608691884124;9.75467607434703;63.2965697403633;37.6982794640397;17.5573582121561;91.8861126167908;453.080671663092;484.690122821902;480.028281077751;496.475441204409;482.085128486918;495.537140323538;36.9116221861026;30.9456575506828
;;66;144;4703;;;;;2024-07-10 12:49:56;3.87540112808347;43.6132848023002;3.8754061;43.6133012;138.137453278653;63.394315852737;30.6290531776913;34.09375;34;34;36.704280155642;1.3375544;180;93.4763358803196;9.75511452616626;60.191558383889;39.0382028863672;17.7542452519232;91.6461460764582;453.488670061105;482.998492611018;479.808353823179;494.452703259251;482.0555111946;493.663344119346;36.722778463394;30.4226213927313
;;66;144;4704;;;;;2024-07-10 12:49:57;3.87539868056774;43.6132766946347;3.8754029;43.6132923;138.144803670496;63.3963333974051;30.6450751506828;34.046875;33.9375;34;36.7996490424964;1.4404432;166;95.5541892712342;10.5631812290169;62.8325575390527;38.6833412269761;20.204007888318;95.0964176769755;455.186478302945;480.874271729839;480.191446325673;492.320716048146;482.0305157042;493.712908852572;36.8737703781938;30.3237905426829
;;66;144;4705;;;;;2024-07-10 12:49:58;3.87539623305202;43.6132685869692;3.8754003;43.6132834;138.152154973043;63.3983506547152;30.6717784390021;34.203125;33.953125;34;36.8549629968719;1.3375544;156;94.8601214718964;10.4097230922846;60.6012111426844;38.7970679756484;18.9120455875451;97.149894791829;457.082229917469;479.99522596857;480.078381407395;490.909659538196;481.952946577248;494.265903895991;36.8113518231393;30.5121496390021
;;66;144;4706;;;;;2024-07-10 12:49:59;3.87539378553629;43.6132604793036;3.8753985;43.6132774;138.159507186372;63.4003676245985;30.6851300831617;34.078125;33.984375;34;36.8702220187686;1.3375544;177;94.4265707643712;9.01106178892395;60.234176186821;38.5247223406699;17.3530661288579;93.4501956045861;458.865465627242;479.813637980799;480.184569824776;489.596574372865;482.172148458183;494.959700072237;36.6655169009118;30.4915556831617
;;66;144;4707;;;;;2024-07-10 12:50:00;3.87539133802057;43.6132523716381;3.8753973;43.6132697;138.166860310592;63.402384306993;30.6797894254978;34.2109375;34.0546875;34;36.7500572213321;1.2346656;184;92.2593005608679;8.85190377854154;60.4498744547218;37.9308634913997;14.1771736356227;90.6854198200011;459.682171826278;480.381234395471;479.860031118647;489.024005339248;482.505953149043;494.544351368492;36.4820691693291;30.5313324654978
;;66;144;4708;;;;;2024-07-10 12:50:01;3.87538889050484;43.6132442639726;3.8753935;43.6132592;138.174214345704;63.4044007018087;30.7251850156405;34.203125;34.1484375;34;36.7080949111162;1.1317768;184;92.6193844818335;8.2503478825507;60.1993861436112;36.6007735849349;16.606899095404;86.6214703466261;460.328751268192;480.379937629683;480.072868483715;489.040495638222;482.045449837736;494.210939132922;36.3919692674036;30.6874992556405
;;66;144;4709;;;;;2024-07-10 12:50:02;3.87538644298911;43.6132361563071;3.8753905;43.6132488;138.181569291893;63.4064168090048;30.7598992904555;34.265625;34.1171875;34;36.616540779736;1.0803324;188;93.2269354733152;8.12626601770711;60.0593562196918;37.4066943415039;19.665182073734;84.3822126844183;460.62186632501;480.382444673585;479.68271602178;488.988530626509;481.084037207603;494.129196739893;36.3841881333581;30.7934767624555
;;66;144;4710;;;;;2024-07-10 12:50:03;3.87538399547339;43.6132280486415;3.8753868;43.6132388;138.188925149136;63.408432628484;30.7545586327916;34.203125;34.1875;34;36.5364309147784;1.0803324;191;92.7624513819756;8.50026541951483;61.3048397666025;38.1151350277823;20.8739465324815;82.3201346182984;460.815433020568;480.059948771434;478.987363268788;489.013491252885;480.833734451735;494.362408076135;36.3859478217398;30.8084602519916
;;66;144;4711;;;;;2024-07-10 12:50:04;3.87538154795766;43.613219940976;3.8753817;43.6132281;138.196281917591;63.4104481601987;30.7652399481193;34.2734375;34.1171875;34;36.5459678034638;1.28611;189;93.0945019238594;8.21220257427723;61.2056881434546;40.4217358138246;19.7475087341677;80.8992574690887;460.748131428186;479.262134498836;479.031625137223;488.548846847528;481.116155658516;493.596046861692;36.3409041240521;30.4436296835433
;;66;144;4712;;;;;2024-07-10 12:50:05;3.87537910044194;43.6132118333105;3.8753773;43.6132176;138.203639597339;63.4124634040796;30.7892729076066;34.2734375;34.078125;34;36.4792095826658;1.4918876;183;92.6334011713745;7.56197852635128;62.7799375986979;38.3079574475238;17.7302877581463;84.012371779963;460.181001519492;479.337363591341;478.105651310211;488.846796746248;482.104235544145;492.35599784842;36.3136966431332;30.1460083669346
;;66;144;4713;;;;;2024-07-10 12:50:06;3.87537665292621;43.6132037256449;3.8753732;43.6132081;138.210998188407;63.4144783600437;30.8186465247578;34.34375;34.109375;34;36.4219882505531;1.543332;183;93.2588355253739;7.17614092542421;63.0225981500862;37.7598458242233;15.9587399910378;86.4928861251934;459.588798422399;478.752732191131;477.48897021703;488.601921132183;482.626730571184;491.115186264366;36.2625436088053;30.0787935199578
;;66;144;4714;;;;;2024-07-10 12:50:07;3.87537420541048;43.6131956179794;3.8753682;43.6131979;138.218357690903;63.4164930280291;30.8266575112535;34.3046875;34.046875;34;36.3838406958114;1.800554;180;92.1718170847675;8.04120636477546;63.4479064283259;36.0855828625659;14.3919198980236;91.4728369084402;459.48400252219;478.593893745748;477.408145083854;488.175748446262;482.201143044571;490.984594360984;36.275085296219;29.7717700872535
;;66;144;4715;;;;;2024-07-10 12:50:08;3.87537175789476;43.6131875103139;3.8753647;43.6131885;138.22571810488;63.4185074079597;30.8400091554131;34.28125;34.0859375;34;36.3857480735485;2.057776;180;92.4777675840578;7.4777957770581;60.3411555696911;38.4580254504711;14.6201694750988;92.8597403001476;459.073836456828;478.130654020058;476.898315742371;487.955045144455;481.22436571157;490.432947689801;36.2124569218756;29.5176742306132
;;66;144;4716;;;;;2024-07-10 12:50:09;3.87536931037903;43.6131794026484;3.8753605;43.6131796;138.233079430497;63.4205214997875;30.8266575112535;34.3046875;34.140625;34;36.2751201647974;2.2635536;180;91.6831662873228;8.01972222563293;58.8238748102039;38.2686233840732;14.0342998545527;93.0571321317115;458.501609261173;477.780637651631;476.626914994392;487.931709900247;480.056802002319;490.374219339336;36.1031606926786;29.1791433992535
